	"Archive-ID"	"Media-ID"	"Duration"					
218	220	"ZA220_06_02"	"00:35:55.24"	"ZA220_06_02_tc_tab.ods"	21.07.09 16:57	22.09.09 15:50	"segmented"	"NULL"
219	220	"ZA220_06_03"	"00:35:37.20"	"ZA220_06_03_tc_tab.ods"	21.07.09 16:57	22.09.09 15:50	"segmented"	"NULL"
220	220	"ZA220_06_04"	"00:36:34.23"	"ZA220_06_04_tc_tab.ods"	21.07.09 16:57	22.09.09 15:50	"segmented"	"NULL"
221	220	"ZA220_06_05"	"00:36:39.01"	"ZA220_06_05_tc_tab.ods"	21.07.09 16:57	22.09.09 15:50	"segmented"	"NULL"
222	220	"ZA220_06_06"	"00:14:02.13"	"ZA220_06_06_tc_tab.ods"	21.07.09 16:57	22.09.09 15:50	"segmented"	"NULL"
223	230	"ZA230_08_01"	"00:36:04.00"	"ZA230_08_01_tc_tab.ods"	21.07.09 16:57	22.09.09 15:50	"segmented"	"NULL"
224	230	"ZA230_08_02"	"00:31:06.07"	"ZA230_08_02_tc_tab.ods"	21.07.09 16:57	22.09.09 15:50	"segmented"	"NULL"
225	230	"ZA230_08_03"	"00:36:09.22"	"ZA230_08_03_tc_tab.ods"	21.07.09 16:58	22.09.09 15:50	"segmented"	"NULL"
226	230	"ZA230_08_04"	"NULL"	"ZA230_08_04_tc_tab.ods"	21.07.09 16:58	22.09.09 15:50	"segmented"	"NULL"
227	230	"ZA230_08_05"	"00:36:08.11"	"ZA230_08_05_tc_tab.ods"	21.07.09 16:58	22.09.09 15:50	"segmented"	"NULL"
228	230	"ZA230_08_06"	"00:36:05.16"	"ZA230_08_06_tc_tab.ods"	21.07.09 16:58	22.09.09 15:50	"segmented"	"NULL"
229	230	"ZA230_08_07"	"00:36:04.07"	"ZA230_08_07_tc_tab.ods"	21.07.09 16:59	22.09.09 15:50	"segmented"	"NULL"
230	230	"ZA230_08_08"	"00:13:19.20"	"ZA230_08_08_tc_tab.ods"	21.07.09 16:59	22.09.09 15:50	"segmented"	"NULL"
231	253	"ZA253_03_01"	"01:49:59.01"	"ZA253_03_01_tc_tab.ods"	21.07.09 17:09	08.10.09 16:23	"segmented"	"NULL"
